slug,status,nameEn,nameAr,placeType,district,claim_count,photo_count
mosque-al-ghuri,PUBLISHED_MEDIA,Mosque and Mausoleum of al-Ghuri,مجموعة السلطان الغوري,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-hakim,PUBLISHED_MEDIA,Mosque of al-Hakim bi-Amr Allah,جامع الحاكم بأمر الله,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-hussein,PUBLISHED_MEDIA,Al-Hussein Mosque and District,جامع الحسين,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-muayyad,PUBLISHED_MEDIA,Mosque of al-Mu'ayyad,جامع المؤيد شيخ,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-nasir-muhammad-citadel,PUBLISHED_MEDIA,Mosque of al-Nasir Muhammad at the Citadel,جامع الناصر محمد بالقلعة,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-rifai,PUBLISHED_MEDIA,Al-Rifa'i Mosque,جامع الرفاعي,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-salih-ayyub,PUBLISHED_MEDIA,Madrasa and Mausoleum of al-Salih Ayyub,مدرسة ومقبرة الصالح أيوب,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-salih-talai,PUBLISHED_MEDIA,Mosque of al-Salih Tala'i,جامع الصالح طلائع,Historic Monument / Structure,Historic Cairo,1,1
mosque-amr-ibn-al-as,PUBLISHED_MEDIA,Mosque of Amr ibn al-As,جامع عمرو بن العاص,Historic Monument / Structure,Historic Cairo,1,1
mosque-ibn-tulun,PUBLISHED_MEDIA,Mosque of Ahmad Ibn Tulun,جامع أحمد بن طولون,Historic Monument / Structure,Historic Cairo,1,1
mosque-muhammad-ali-citadel,PUBLISHED_MEDIA,Mosque of Muhammad Ali,جامع محمد علي بالقلعة,Historic Monument / Structure,Historic Cairo,1,1
muhammad-ali-mosque,PUBLISHED_MEDIA,Mosque of Muhammad Ali,جامع محمد علي,Historic Monument / Structure,Historic Cairo,1,1
museum-islamic-art,PUBLISHED_MEDIA,Museum of Islamic Art,متحف الفن الإسلامي,Historic Monument / Structure,Historic Cairo,1,1
museum-of-islamic-art,PUBLISHED_MEDIA,Museum of Islamic Art,متحف الفن الإسلامي بالقاهرة,Historic Monument / Structure,Historic Cairo,1,1
nilometer-roda,PUBLISHED_MEDIA,Nilometer on Roda Island,مقياس النيل بالروضة,Historic Monument / Structure,Historic Cairo,1,1
qalawun-complex,PUBLISHED_MEDIA,Qalawun Complex,مجموعة السلطان قلاوون,Historic Monument / Structure,Historic Cairo,1,1
sabil-abd-al-rahman-katkhuda,PUBLISHED_MEDIA,Sabil-Kuttab of Abd al-Rahman Katkhuda,سبيل وكتاب عبد الرحمن كتحدا,Historic Monument / Structure,Historic Cairo,1,1
sabil-kuttab-abd-al-rahman-katkhuda,PUBLISHED_MEDIA,Sabil-Kuttab of Abd al-Rahman Katkhuda,سبيل وكتاب عبد الرحمن كتحدا,Historic Monument / Structure,Historic Cairo,1,1
sultan-hasan-mosque,PUBLISHED_MEDIA,Mosque and Madrasa of Sultan Hasan,جامع السلطان حسن,Historic Monument / Structure,Historic Cairo,1,1
wakala-al-ghuri,PUBLISHED_MEDIA,Wakala of al-Ghuri,وكالة الغوري,Historic Monument / Structure,Historic Cairo,1,1
aqunsqur-blue-mosque,PROPOSED_V4,Aqsunqur Mosque / Blue Mosque,جامع أق سنقر / الجامع الأزرق,Historic Monument / Structure,Historic Cairo,1,1
bayt-al-razzaz,PROPOSED_V4,Bayt al-Razzaz,بيت الرزاز,Historic Monument / Structure,Historic Cairo,1,1
gayer-anderson-museum,PROPOSED_V4,Gayer-Anderson Museum,متحف جاير أندرسون,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-imam-al-shafii,PROPOSED_V4,Mausoleum of Imam al-Shafi'i,قبة الإمام الشافعي,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-shajarat-al-durr,PROPOSED_V4,Mausoleum of Shajarat al-Durr,شجرة الدر,Historic Monument / Structure,Historic Cairo,1,1
mosque-sabil-sulayman-agha-al-silahdar,PROPOSED_V4,Mosque-Sabil-Kuttab of Sulayman Agha al-Silahdar,جامع وسبيل سليمان أغا السلحدار,Historic Monument / Structure,Historic Cairo,1,1
sabil-kuttab-nafisa-al-bayda,PROPOSED_V4,Sabil-Kuttab of Nafisa al-Bayda,سبيل وكتاب نفيسة البيضاء,Historic Monument / Structure,Historic Cairo,1,1
sinan-pasha-mosque-bulaq,PROPOSED_V4,Sinan Pasha Mosque,جامع سنان باشا ببولاق,Historic Monument / Structure,Historic Cairo,1,1
sulayman-pasha-al-khadim-mosque,PROPOSED_V4,Mosque of Sulayman Pasha al-Khadim,جامع سارية الجبل / سليمان باشا الخادم,Historic Monument / Structure,Historic Cairo,1,1
sultan-qaytbay-funerary-complex,PROPOSED_V4,Funerary Complex of Sultan Qaytbay,مجموعة السلطان قايتباي الجنائزية,Historic Monument / Structure,Historic Cairo,1,1
abu-al-ila-mosque-district,CANDIDATE,Abu al-Ila Mosque and District,جامع أبو العلا وحيه,Historic Monument / Structure,Historic Cairo,1,1
ayyubid-wall-darb-al-ahmar,CANDIDATE,Ayyubid Wall in Darb al-Ahmar,السور الأيوبي بالدرب الأحمر,Historic Monument / Structure,Historic Cairo,1,1
azbakiyya-urban-history,CANDIDATE,Azbakiyya Islamic Urban History,التاريخ الحضري للأزبكية,Historic Monument / Structure,Historic Cairo,1,1
bab-al-wazir-street,CANDIDATE,Bab al-Wazir Street Ensemble,شارع باب الوزير,Historic Monument / Structure,Historic Cairo,1,1
barsbay-northern-cemetery,CANDIDATE,Funerary Complex of Barsbay,مجموعة السلطان برسباي بالقرافة الشمالية,Historic Monument / Structure,Historic Cairo,1,1
bayt-al-harrawi,CANDIDATE,Bayt al-Harrawi,بيت الهراوي,Historic Monument / Structure,Historic Cairo,1,1
bayt-al-sinnari,CANDIDATE,Bayt al-Sinnari,بيت السناري,Historic Monument / Structure,Historic Cairo,1,1
bayt-gamal-al-din-al-dhahabi,CANDIDATE,Bayt Gamal al-Din al-Dhahabi,بيت جمال الدين الذهبي,Historic Monument / Structure,Historic Cairo,1,1
bayt-sitt-wasila,CANDIDATE,Bayt Sitt Wasila,بيت ست وسيلة,Historic Monument / Structure,Historic Cairo,1,1
bayt-zaynab-khatun,CANDIDATE,Bayt Zaynab Khatun,بيت زينب خاتون,Historic Monument / Structure,Historic Cairo,1,1
bulaq-historic-port,CANDIDATE,Historic Port District of Bulaq,حي بولاق التاريخي,Historic Monument / Structure,Historic Cairo,1,1
burg-al-mahruq,CANDIDATE,Burg al-Mahruq,برج المحروق,Historic Monument / Structure,Historic Cairo,1,1
cairo-aqueduct,CANDIDATE,Cairo Aqueduct,مجرى العيون,Historic Monument / Structure,Historic Cairo,1,1
citadel-northern-enclosure,CANDIDATE,Northern Enclosure of the Citadel,الأسوار الشمالية للقلعة,Historic Monument / Structure,Historic Cairo,1,1
citadel-well-yusuf,CANDIDATE,Well of Yusuf at the Citadel,بئر يوسف بالقلعة,Historic Monument / Structure,Historic Cairo,1,1
excavated-houses-fustat,CANDIDATE,Excavated Houses of Fustat,بيوت الفسطاط المنقبة,Historic Monument / Structure,Historic Cairo,1,1
fumm-al-khalig,CANDIDATE,Historic Mouth of the Khalij,فم الخليج,Historic Monument / Structure,Historic Cairo,1,1
fustat-archaeological-area,CANDIDATE,Fustat Archaeological Area,منطقة الفسطاط الأثرية,Historic Monument / Structure,Historic Cairo,1,1
fustat-pottery-kilns,CANDIDATE,Fustat Pottery and Kilns,فاخورة الفسطاط,Historic Monument / Structure,Historic Cairo,1,1
gawhara-palace,CANDIDATE,Al-Gawhara Palace,قصر الجوهرة,Historic Monument / Structure,Historic Cairo,1,1
hammam-bishtak,CANDIDATE,Hammam of Bashtak,حمام بشتك,Historic Monument / Structure,Historic Cairo,1,1
hammam-sukkariyya,CANDIDATE,Historic Hammam in al-Sukkariyya,حمام السكرية,Historic Monument / Structure,Historic Cairo,1,1
historic-crafts-darb-al-ahmar,CANDIDATE,Historic Crafts of Darb al-Ahmar,الحرف التاريخية بالدرب الأحمر,Historic Monument / Structure,Historic Cairo,1,1
imam-shafii-cemetery-landscape,CANDIDATE,Imam al-Shafi'i Cemetery Landscape,مشهد وقرافة الإمام الشافعي,Historic Monument / Structure,Historic Cairo,1,1
khanqah-shaykhu,CANDIDATE,Khanqah of Amir Shaykhu,خانقاه الأمير شيخو,Historic Monument / Structure,Historic Cairo,1,1
khayrbak-complex,CANDIDATE,Complex of Amir Khayrbak,مجموعة خاير بك,Historic Monument / Structure,Historic Cairo,1,1
madrasa-al-kamil,CANDIDATE,Madrasa of al-Kamil Muhammad,مدرسة الكامل محمد,Historic Monument / Structure,Historic Cairo,1,1
madrasa-al-zahir-baybars-remains,CANDIDATE,Remains of Madrasa of al-Zahir Baybars,بقايا مدرسة الظاهر بيبرس,Historic Monument / Structure,Historic Cairo,1,1
madrasa-sarghatmish,CANDIDATE,Madrasa of Sarghatmish,مدرسة صرغتمش,Historic Monument / Structure,Historic Cairo,1,1
madrasa-taghri-bardi,CANDIDATE,Mosque-Madrasa of Taghri Bardi,مدرسة تغري بردي,Historic Monument / Structure,Historic Cairo,1,1
madrasa-umm-al-sultan-shaban,CANDIDATE,Madrasa of Umm al-Sultan Sha'ban,مدرسة أم السلطان شعبان,Historic Monument / Structure,Historic Cairo,1,1
manasterly-palace,CANDIDATE,Manasterly Palace,قصر المانسترلي,Historic Monument / Structure,Historic Cairo,1,1
manzil-ali-labib,CANDIDATE,Manzil Ali Labib,منزل علي لبيب,Historic Monument / Structure,Historic Cairo,1,1
maristan-al-muayyadi,CANDIDATE,Bimaristan of al-Mu'ayyad,بيمارستان المؤيد شيخ,Historic Monument / Structure,Historic Cairo,1,1
mashhad-al-juyushi,CANDIDATE,Mashhad al-Juyushi,مشهد الجيوشي,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-amir-qurqumas,CANDIDATE,Mausoleum of Amir Qurqumas,مجموعة الأمير قرقماس,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-janibak-al-ashrafi,CANDIDATE,Mausoleum of Janibak al-Ashrafi,قبة جاني بك الأشرفي,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-qansuh-abu-said,CANDIDATE,Mausoleum of Qansuh Abu Sa'id,قبة قانصوه أبو سعيد,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-sayyida-atika,CANDIDATE,Mausoleum of Sayyida Atika,مشهد السيدة عاتكة,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-sayyida-ruqayya,CANDIDATE,Mausoleum of Sayyida Ruqayya,مشهد السيدة رقية,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-sayyida-sukayna,CANDIDATE,Mausoleum of Sayyida Sukayna,مشهد السيدة سکينة,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-tarabay-al-sharifi,CANDIDATE,Mausoleum of Tarabay al-Sharifi,مجموعة طرا باي الشريفي,Historic Monument / Structure,Historic Cairo,1,1
mausoleum-yunus-al-dawadar,CANDIDATE,Mausoleum of Yunus al-Dawadar,قبة يونس الدوادار,Historic Monument / Structure,Historic Cairo,1,1
mawlawi-tekkiya,CANDIDATE,Mawlawiyya Tekkiya,التكية المولوية,Historic Monument / Structure,Historic Cairo,1,1
mosque-akbugha-utrush,CANDIDATE,Mosque of Akbugha al-Utrush,جامع أقبغا الأطروش,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-fakahani,CANDIDATE,Al-Fakahani Mosque,جامع الفكاهاني,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-lulua,CANDIDATE,Mosque of al-Lu'lu'a,مسجد اللؤلؤة,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-malik-al-salih-roda,CANDIDATE,Mosque of al-Malik al-Salih on Roda,جامع الصالح أيوب بالروضة,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-zahir-baybars,CANDIDATE,Mosque of al-Zahir Baybars,جامع الظاهر بيبرس,Historic Monument / Structure,Historic Cairo,1,1
mosque-altinbugha-al-maridani,CANDIDATE,Mosque of Altinbugha al-Maridani,جامع الطنبغا المارداني,Historic Monument / Structure,Historic Cairo,1,1
mosque-aslam-al-silahdar,CANDIDATE,Mosque of Aslam al-Silahdar,جامع أصلان السلحدار,Historic Monument / Structure,Historic Cairo,1,1
mosque-mahmud-al-kurdi,CANDIDATE,Mosque of Mahmud al-Kurdi,جامع محمود الكردي,Historic Monument / Structure,Historic Cairo,1,1
mosque-qijmas-al-ishaqi,CANDIDATE,Mosque of Qijmas al-Ishaqi,جامع قجماس الإسحاقي,Historic Monument / Structure,Historic Cairo,1,1
mosque-sayyida-nafisa,CANDIDATE,Mosque and Shrine of Sayyida Nafisa,جامع السيدة نفيسة,Historic Monument / Structure,Historic Cairo,1,1
mosque-sayyida-zaynab,CANDIDATE,Mosque and Square of Sayyida Zaynab,جامع وميدان السيدة زينب,Historic Monument / Structure,Historic Cairo,1,1
mosque-shaykhu,CANDIDATE,Mosque of Amir Shaykhu,جامع الأمير شيخو,Historic Monument / Structure,Historic Cairo,1,1
palace-amir-beshtak,CANDIDATE,Palace of Amir Beshtak,قصر الأمير بشتك,Historic Monument / Structure,Historic Cairo,1,1
palace-amir-taz,CANDIDATE,Palace of Amir Taz,قصر الأمير طاز,Historic Monument / Structure,Historic Cairo,1,1
qaysariyya-al-muizz,CANDIDATE,Qaysariyya Commercial Passages of al-Muizz,قيساريات شارع المعز,Historic Monument / Structure,Historic Cairo,1,1
qaytbay-animal-trough,CANDIDATE,Animal Trough of Qaytbay,حوض سقي الدواب للقايتباي,Historic Monument / Structure,Historic Cairo,1,1
qaytbay-maqad,CANDIDATE,Maq'ad of Qaytbay,مقعد السلطان قايتباي,Historic Monument / Structure,Historic Cairo,1,1
qaytbay-rab,CANDIDATE,Rab' of Qaytbay,ربع السلطان قايتباي,Historic Monument / Structure,Historic Cairo,1,1
roda-island-islamic-landscape,CANDIDATE,Roda Island Islamic Landscape,البيئة التراثية لإسلامية جزيرة الروضة,Historic Monument / Structure,Historic Cairo,1,1
sabil-khusraw-pasha,CANDIDATE,Sabil-Kuttab of Khusraw Pasha,سبيل خسرو باشا,Historic Monument / Structure,Historic Cairo,1,1
sabil-muhammad-ali-aqqadin,CANDIDATE,Sabil of Muhammad Ali at al-Aqqadin,سبيل محمد علي بالعقادين,Historic Monument / Structure,Historic Cairo,1,1
sabil-muhammad-ali-nahhasin,CANDIDATE,Sabil-Kuttab of Muhammad Ali at al-Nahhasin,سبيل النحاسين لمحمد علي,Historic Monument / Structure,Historic Cairo,1,1
sabil-qaytbay-saliba,CANDIDATE,Sabil-Kuttab of Qaytbay on al-Saliba,سبيل قايتباي بالصليبة,Historic Monument / Structure,Historic Cairo,1,1
sabil-qitas,CANDIDATE,Sabil-Kuttab of Qitas,سبيل قطاس,Historic Monument / Structure,Historic Cairo,1,1
sabil-ruqayya-dudu,CANDIDATE,Sabil of Ruqayya Dudu,سبيل رقية دودو,Historic Monument / Structure,Historic Cairo,1,1
sabil-umm-abbas,CANDIDATE,Sabil Umm Abbas,سبيل أم عباس,Historic Monument / Structure,Historic Cairo,1,1
wakala-bazaraa,CANDIDATE,Wakala Bazaraa,وكالة بازرعة,Historic Monument / Structure,Historic Cairo,1,1
wakala-qaytbay-bab-al-nasr,CANDIDATE,Wakala of Qaytbay near Bab al-Nasr,وكالة قايتباي بباب النصر,Historic Monument / Structure,Historic Cairo,1,1
