slug,status,nameEn,district,placeType,sourceCount,claimCount,photoCount,unresolvedCount
faraj-ibn-barquq-khanqah,PUBLISHED_MEDIA,Khanqah and Mosque of Faraj ibn Barquq,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
khan-al-khalili,PUBLISHED_MEDIA,Khan al-Khalili,al-Azhar / Fatimid Cairo,market and commercial quarter,2,4,0,2
mosque-al-aqmar,PUBLISHED_MEDIA,Al-Aqmar Mosque,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
mosque-al-azhar,PUBLISHED_MEDIA,Al-Azhar Mosque,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
mosque-al-ghuri,PUBLISHED_MEDIA,Mosque and Mausoleum of al-Ghuri,al-Azhar / al-Muizz,mosque and funerary complex,2,4,0,2
mosque-al-hakim,PUBLISHED_MEDIA,Mosque of al-Hakim bi-Amr Allah,Fatimid Cairo north,congregational mosque,2,4,0,2
mosque-al-hussein,PUBLISHED_MEDIA,Al-Hussein Mosque and District,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
mosque-al-muayyad,PUBLISHED_MEDIA,Mosque of al-Mu'ayyad,Bab Zuweila / al-Darb al-Ahmar,mosque and madrasa,2,4,0,2
mosque-al-nasir-muhammad-citadel,PUBLISHED_MEDIA,Mosque of al-Nasir Muhammad at the Citadel,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
mosque-al-rifai,PUBLISHED_MEDIA,Al-Rifa'i Mosque,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
mosque-al-salih-ayyub,PUBLISHED_MEDIA,Madrasa and Mausoleum of al-Salih Ayyub,Bayn al-Qasrayn / al-Muizz,madrasa and mausoleum,2,4,0,2
mosque-al-salih-talai,PUBLISHED_MEDIA,Mosque of al-Salih Tala'i,near Bab Zuweila,mosque,2,4,0,2
mosque-amr-ibn-al-as,PUBLISHED_MEDIA,Mosque of Amr ibn al-As,Old Cairo / Fustat,congregational mosque,2,4,0,2
mosque-ibn-tulun,PUBLISHED_MEDIA,Mosque of Ahmad Ibn Tulun,al-Qata'i / Sayyida Zeinab,congregational mosque,3,4,0,2
mosque-muhammad-ali-citadel,PUBLISHED_MEDIA,Mosque of Muhammad Ali,Cairo Citadel,mosque,2,4,0,2
muhammad-ali-mosque,PUBLISHED_MEDIA,Mosque of Muhammad Ali,Cairo Citadel,mosque,2,4,0,2
museum-islamic-art,PUBLISHED_MEDIA,Museum of Islamic Art,Bab al-Khalq,museum,2,4,0,2
museum-of-islamic-art,PUBLISHED_MEDIA,Museum of Islamic Art,Bab al-Khalq,museum,2,4,0,2
nilometer-roda,PUBLISHED_MEDIA,Nilometer on Roda Island,Roda Island,hydraulic measuring structure,2,4,0,2
qalawun-complex,PUBLISHED_MEDIA,Qalawun Complex,Bayn al-Qasrayn / al-Muizz,"religious, medical, and funerary complex",3,4,0,2
sabil-abd-al-rahman-katkhuda,PUBLISHED_MEDIA,Sabil-Kuttab of Abd al-Rahman Katkhuda,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
sabil-kuttab-abd-al-rahman-katkhuda,PUBLISHED_MEDIA,Sabil-Kuttab of Abd al-Rahman Katkhuda,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
sultan-hasan-mosque,PUBLISHED_MEDIA,Mosque and Madrasa of Sultan Hasan,Midan Salah al-Din,mosque and madrasa complex,3,4,0,2
wakala-al-ghuri,PUBLISHED_MEDIA,Wakala of al-Ghuri,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
aqunsqur-blue-mosque,PROPOSED_V4,Aqsunqur Mosque / Blue Mosque,Darb al-Ahmar,mosque and funerary complex,2,4,0,2
bayt-al-razzaz,PROPOSED_V4,Bayt al-Razzaz,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
gayer-anderson-museum,PROPOSED_V4,Gayer-Anderson Museum,Sayyida Zeinab / Ibn Tulun,historic house museum,2,4,0,2
mausoleum-imam-al-shafii,PROPOSED_V4,Mausoleum of Imam al-Shafi'i,Imam al-Shafi'i Cemetery,mausoleum and shrine,2,4,0,2
mausoleum-shajarat-al-durr,PROPOSED_V4,Mausoleum of Shajarat al-Durr,Imam al-Shafi'i Cemetery,mausoleum,2,4,0,2
mosque-sabil-sulayman-agha-al-silahdar,PROPOSED_V4,Mosque-Sabil-Kuttab of Sulayman Agha al-Silahdar,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
sabil-kuttab-nafisa-al-bayda,PROPOSED_V4,Sabil-Kuttab of Nafisa al-Bayda,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
sinan-pasha-mosque-bulaq,PROPOSED_V4,Sinan Pasha Mosque,Bulaq,mosque,2,4,0,2
sulayman-pasha-al-khadim-mosque,PROPOSED_V4,Mosque of Sulayman Pasha al-Khadim,Cairo Citadel,mosque and funerary complex,2,4,0,2
sultan-qaytbay-funerary-complex,PROPOSED_V4,Funerary Complex of Sultan Qaytbay,Northern Cemetery / Qaytbay,funerary complex,3,4,0,2
abu-al-ila-mosque-district,CANDIDATE,Abu al-Ila Mosque and District,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
ayyubid-wall-darb-al-ahmar,CANDIDATE,Ayyubid Wall in Darb al-Ahmar,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
azbakiyya-urban-history,CANDIDATE,Azbakiyya Islamic Urban History,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bab-al-wazir-street,CANDIDATE,Bab al-Wazir Street Ensemble,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
barsbay-northern-cemetery,CANDIDATE,Funerary Complex of Barsbay,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bayt-al-harrawi,CANDIDATE,Bayt al-Harrawi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bayt-al-sinnari,CANDIDATE,Bayt al-Sinnari,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bayt-gamal-al-din-al-dhahabi,CANDIDATE,Bayt Gamal al-Din al-Dhahabi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bayt-sitt-wasila,CANDIDATE,Bayt Sitt Wasila,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bayt-zaynab-khatun,CANDIDATE,Bayt Zaynab Khatun,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
bulaq-historic-port,CANDIDATE,Historic Port District of Bulaq,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
burg-al-mahruq,CANDIDATE,Burg al-Mahruq,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
cairo-aqueduct,CANDIDATE,Cairo Aqueduct,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
citadel-northern-enclosure,CANDIDATE,Northern Enclosure of the Citadel,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
citadel-well-yusuf,CANDIDATE,Well of Yusuf at the Citadel,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
excavated-houses-fustat,CANDIDATE,Excavated Houses of Fustat,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
fumm-al-khalig,CANDIDATE,Historic Mouth of the Khalij,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
fustat-archaeological-area,CANDIDATE,Fustat Archaeological Area,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
fustat-pottery-kilns,CANDIDATE,Fustat Pottery and Kilns,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
gawhara-palace,CANDIDATE,Al-Gawhara Palace,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
hammam-bishtak,CANDIDATE,Hammam of Bashtak,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
hammam-sukkariyya,CANDIDATE,Historic Hammam in al-Sukkariyya,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
historic-crafts-darb-al-ahmar,CANDIDATE,Historic Crafts of Darb al-Ahmar,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
imam-shafii-cemetery-landscape,CANDIDATE,Imam al-Shafi'i Cemetery Landscape,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
khanqah-shaykhu,CANDIDATE,Khanqah of Amir Shaykhu,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
khayrbak-complex,CANDIDATE,Complex of Amir Khayrbak,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
madrasa-al-kamil,CANDIDATE,Madrasa of al-Kamil Muhammad,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
madrasa-al-zahir-baybars-remains,CANDIDATE,Remains of Madrasa of al-Zahir Baybars,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
madrasa-sarghatmish,CANDIDATE,Madrasa of Sarghatmish,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
madrasa-taghri-bardi,CANDIDATE,Mosque-Madrasa of Taghri Bardi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
madrasa-umm-al-sultan-shaban,CANDIDATE,Madrasa of Umm al-Sultan Sha'ban,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
manasterly-palace,CANDIDATE,Manasterly Palace,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
manzil-ali-labib,CANDIDATE,Manzil Ali Labib,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
maristan-al-muayyadi,CANDIDATE,Bimaristan of al-Mu'ayyad,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mashhad-al-juyushi,CANDIDATE,Mashhad al-Juyushi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-amir-qurqumas,CANDIDATE,Mausoleum of Amir Qurqumas,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-janibak-al-ashrafi,CANDIDATE,Mausoleum of Janibak al-Ashrafi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-qansuh-abu-said,CANDIDATE,Mausoleum of Qansuh Abu Sa'id,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-sayyida-atika,CANDIDATE,Mausoleum of Sayyida Atika,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-sayyida-ruqayya,CANDIDATE,Mausoleum of Sayyida Ruqayya,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-sayyida-sukayna,CANDIDATE,Mausoleum of Sayyida Sukayna,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-tarabay-al-sharifi,CANDIDATE,Mausoleum of Tarabay al-Sharifi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mausoleum-yunus-al-dawadar,CANDIDATE,Mausoleum of Yunus al-Dawadar,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mawlawi-tekkiya,CANDIDATE,Mawlawiyya Tekkiya,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-akbugha-utrush,CANDIDATE,Mosque of Akbugha al-Utrush,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-al-fakahani,CANDIDATE,Al-Fakahani Mosque,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-al-lulua,CANDIDATE,Mosque of al-Lu'lu'a,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-al-malik-al-salih-roda,CANDIDATE,Mosque of al-Malik al-Salih on Roda,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-al-zahir-baybars,CANDIDATE,Mosque of al-Zahir Baybars,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-altinbugha-al-maridani,CANDIDATE,Mosque of Altinbugha al-Maridani,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-aslam-al-silahdar,CANDIDATE,Mosque of Aslam al-Silahdar,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-mahmud-al-kurdi,CANDIDATE,Mosque of Mahmud al-Kurdi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-qijmas-al-ishaqi,CANDIDATE,Mosque of Qijmas al-Ishaqi,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-sayyida-nafisa,CANDIDATE,Mosque and Shrine of Sayyida Nafisa,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-sayyida-zaynab,CANDIDATE,Mosque and Square of Sayyida Zaynab,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
mosque-shaykhu,CANDIDATE,Mosque of Amir Shaykhu,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
palace-amir-beshtak,CANDIDATE,Palace of Amir Beshtak,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
palace-amir-taz,CANDIDATE,Palace of Amir Taz,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
qaysariyya-al-muizz,CANDIDATE,Qaysariyya Commercial Passages of al-Muizz,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
qaytbay-animal-trough,CANDIDATE,Animal Trough of Qaytbay,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
qaytbay-maqad,CANDIDATE,Maq'ad of Qaytbay,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
qaytbay-rab,CANDIDATE,Rab' of Qaytbay,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
roda-island-islamic-landscape,CANDIDATE,Roda Island Islamic Landscape,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-khusraw-pasha,CANDIDATE,Sabil-Kuttab of Khusraw Pasha,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-muhammad-ali-aqqadin,CANDIDATE,Sabil of Muhammad Ali at al-Aqqadin,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-muhammad-ali-nahhasin,CANDIDATE,Sabil-Kuttab of Muhammad Ali at al-Nahhasin,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-qaytbay-saliba,CANDIDATE,Sabil-Kuttab of Qaytbay on al-Saliba,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-qitas,CANDIDATE,Sabil-Kuttab of Qitas,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-ruqayya-dudu,CANDIDATE,Sabil of Ruqayya Dudu,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
sabil-umm-abbas,CANDIDATE,Sabil Umm Abbas,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
wakala-bazaraa,CANDIDATE,Wakala Bazaraa,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
wakala-qaytbay-bab-al-nasr,CANDIDATE,Wakala of Qaytbay near Bab al-Nasr,Unknown — requires official or field verification.,historic place / research record,1,4,0,3
